,movieid,actorid,actor_movie_rank
148,3963,2906953,31
149,3963,2947810,15
150,3963,3020410,55
151,3963,3032277,28
152,3963,3058658,43
153,3963,3116657,24
154,3963,3164895,16
155,3963,3184177,56
156,3963,3192950,57
157,3963,3262831,6
158,3963,3280503,45
159,3963,3352433,13
160,3963,3489326,9
161,3963,3491220,46
162,3963,3496027,34
163,3963,3523339,29
164,3963,3525909,64
165,3963,3548218,27
166,3963,3565624,26
167,3963,3570943,61
168,3963,3622146,35
169,3963,3709747,66
170,3963,3731011,42
171,3963,3764560,1
172,3963,3817633,14
173,3963,3890985,3
174,3963,3897443,32
175,3963,3902532,23
176,3963,3906822,41
177,3963,3911606,48
178,3963,3929641,47
179,3963,3949273,69
180,3977,175296,14
181,3977,292772,10
182,3977,316374,11
183,3977,564976,21
184,3977,890917,38
185,3977,905246,27
186,3977,934138,18
187,3977,1001850,12
188,3977,1015186,24
189,3977,1029138,30
190,3977,1071443,26
191,3977,1206688,25
192,3977,1208612,15
193,3977,1351863,42
194,3977,1403023,13
195,3977,1437659,8
196,3977,1661099,39
197,3977,1855859,16
198,3977,1900838,19
199,3977,2172638,43
200,3977,2658306,37
201,3977,2679341,5
202,3977,2964968,41
203,3977,2969046,20
204,3977,2973503,40
205,3977,2977442,29
206,3977,2998754,3
207,3977,3042900,36
208,3977,3103703,6
209,3977,3193443,32
210,3977,3194266,31
211,3977,3207215,17
212,3977,3350366,7
213,3977,3447419,34
214,3977,3485788,33
215,3977,3573703,22
216,3977,3683597,28
217,3977,3707212,2
218,3977,3737091,35
219,3977,3739418,1
220,3977,3779767,4
221,3977,3911324,23
222,3977,3943267,9
223,4050,174086,34
224,4050,216491,43
225,4050,270379,8
226,4050,567860,9
227,4050,593868,23
228,4050,783317,33
229,4050,1117286,36
230,4050,1200586,11
231,4050,1208172,41
232,4050,1291683,39
233,4050,1389568,45
234,4050,1394917,15
235,4050,1580592,47
236,4050,1614572,25
237,4050,1703684,20
238,4050,1750462,38
239,4050,1781988,35
240,4050,1824964,26
241,4050,1839848,2
242,4050,2102347,19
243,4050,2112913,14
244,4050,2278806,22
245,4050,2428592,46
246,4050,2460473,42
247,4050,2525094,28
248,4050,2781484,7
249,4050,2785283,29
250,4050,2840979,24
251,4050,2903444,10
252,4050,2969611,6
253,4050,3065944,3
254,4050,3103150,12
255,4050,3269696,30
256,4050,3283334,13
257,4050,3290366,16
258,4050,3324459,17
259,4050,3364457,31
260,4050,3404068,4
261,4050,3444394,5
262,4050,3506790,44
263,4050,3564177,1
264,4050,3599481,37
265,4050,3677889,21
266,4050,3692329,27
267,4050,3711728,18
268,4050,3810878,32
269,4052,137586,39
270,4052,221456,26
271,4052,235118,20
272,4052,244989,2
273,4052,377198,8
274,4052,468589,9
275,4052,497260,21
276,4052,576594,23
277,4052,618919,25
278,4052,621125,13
279,4052,721557,40
280,4052,937068,12
281,4052,1008695,18
282,4052,1091677,11
283,4052,1399980,16
284,4052,1493446,37
285,4052,1603610,42
286,4052,1703334,19
287,4052,1727349,14
288,4052,1732460,31
289,4052,2074688,41
290,4052,2223833,17
291,4052,2401917,44
292,4052,2435235,27
293,4052,2460288,10
294,4052,2598691,28
295,4052,2695405,29
296,4052,2725451,35
297,4052,2728160,7
298,4052,2745844,4
299,4052,2751983,24
300,4052,2761370,5
301,4052,2943109,22
302,4052,2957039,36
303,4052,3049921,15
304,4052,3081354,6
305,4052,3299393,34
306,4052,3368115,33
307,4052,3415591,32
308,4052,3568177,43
309,4052,3609575,1
310,4052,3674114,38
311,4052,3707212,3
312,4052,3874599,30
313,4057,67729,10
314,4057,243818,36
315,4057,446942,29
316,4057,465599,16
317,4057,478217,27
318,4057,686036,5
319,4057,815482,6
320,4057,818789,15
321,4057,824965,24
322,4057,868125,17
323,4057,892104,11
324,4057,1014988,1
325,4057,1065874,8
326,4057,1067595,30
327,4057,1180380,20
328,4057,1187781,44
329,4057,1215872,25
330,4057,1294804,45
331,4057,1342068,22
332,4057,1342347,4
333,4057,1349677,13
334,4057,1395729,34
335,4057,1429053,14
336,4057,1429543,31
337,4057,1498756,23
338,4057,1625510,32
339,4057,1698048,3
340,4057,1706614,12
341,4057,1798485,28
342,4057,1830450,26
343,4057,1918338,18
344,4057,2074751,19
345,4057,2088486,21
346,4057,2142659,37
347,4057,2315763,39
348,4057,2445194,40
349,4057,2448571,42
350,4057,2525785,41
351,4057,2605128,43
352,4057,2607187,38
353,4057,2852494,46
354,4057,2931805,35
355,4057,3020391,9
356,4057,3426176,2
357,4057,3464199,7
358,4057,3552626,33
359,4058,87541,9
360,4058,87721,15
361,4058,208963,3
362,4058,218275,2
363,4058,341383,43
364,4058,388991,34
365,4058,555440,50
366,4058,577118,7
367,4058,613168,23
368,4058,668613,6
369,4058,734295,13
370,4058,735794,10
371,4058,753653,17
372,4058,797510,8
373,4058,842416,19
374,4058,890393,29
375,4058,906103,44
376,4058,1131856,22
377,4058,1268645,33
378,4058,1323996,42
379,4058,1352897,11
380,4058,1381398,30
381,4058,1492025,18
382,4058,1499087,32
383,4058,1618430,49
384,4058,1637926,27
385,4058,1749045,14
386,4058,1791370,16
387,4058,1875758,21
388,4058,1929668,39
389,4058,1932641,41
390,4058,2204659,36
391,4058,2311682,26
392,4058,2360236,40
393,4058,2407585,31
394,4058,2532241,1
395,4058,2605714,57
396,4058,2659318,54
397,4058,2664755,58
398,4058,2695405,25
399,4058,2749000,20
400,4058,2806299,55
401,4058,2869150,5
402,4058,2895386,38
403,4058,3094964,56
404,4058,3158326,51
405,4058,3168080,53
406,4058,3249101,12
407,4058,3288122,48
408,4058,3380770,24
409,4058,3418271,37
410,4058,3443625,45
411,4058,3478203,35
412,4058,3531715,4
413,4058,3619049,47
414,4058,3650544,52
415,4058,3727211,28
416,4058,3831104,46
417,4062,14951,6
418,4062,49000,29
419,4062,94660,28
420,4062,105539,35
421,4062,289890,16
422,4062,311622,37
423,4062,354447,30
424,4062,408123,10
425,4062,516497,17
426,4062,571719,18
427,4062,627574,53
428,4062,686036,5
429,4062,736065,43
430,4062,745055,45
431,4062,810424,7
432,4062,863988,39
433,4062,960802,46
434,4062,1028824,27
435,4062,1097264,47
436,4062,1127692,11
437,4062,1164226,52
438,4062,1246211,50
439,4062,1318890,42
440,4062,1324612,4
441,4062,1366430,15
442,4062,1382351,25
443,4062,1577020,38
444,4062,1648848,24
445,4062,1733191,3
446,4062,1804772,31
447,4062,1823941,44
448,4062,1907884,14
449,4062,1936195,48
450,4062,1939767,1
451,4062,1943346,32
452,4062,2461340,23
453,4062,2728846,36
454,4062,2738355,12
455,4062,2773404,13
456,4062,2806255,8
457,4062,3066680,22
458,4062,3207820,2
459,4062,3238199,33
460,4062,3261800,49
461,4062,3384292,20
462,4062,3406025,26
463,4062,3422120,21
464,4062,3722587,41
465,4062,3763504,34
466,4062,3783897,9
467,4062,3822855,51
468,4062,3833021,40
469,4062,3917741,19
470,4063,117348,13
471,4063,191229,29
472,4063,264502,20
473,4063,287549,35
474,4063,369237,33
475,4063,440743,7
476,4063,445032,1
477,4063,528286,2
478,4063,668613,22
479,4063,829820,30
480,4063,856505,8
481,4063,1089446,37
482,4063,1193336,39
483,4063,1253069,38
484,4063,1291524,4
485,4063,1395123,10
486,4063,1503672,5
487,4063,1617694,40
488,4063,1683046,21
489,4063,1841124,28
490,4063,1900212,41
491,4063,1913895,32
492,4063,1920081,27
493,4063,2092460,22
494,4063,2104258,23
495,4063,2176142,43
496,4063,2230947,44
497,4063,2302543,25
498,4063,2331676,31
499,4063,2398398,17
500,4063,2478013,34
501,4063,2498223,12
502,4063,2565099,6
503,4063,2647964,14
504,4063,2817915,16
505,4063,2833351,26
506,4063,3070317,9
507,4063,3157646,3
508,4063,3324570,19
509,4063,3351973,18
510,4063,3370085,36
511,4063,3732666,15
512,4063,3744966,42
513,4063,3919758,11
514,4064,24725,5
515,4064,125552,11
516,4064,177589,40
517,4064,306285,12
518,4064,333713,14
519,4064,546983,31
520,4064,716435,17
521,4064,810424,4
522,4064,885156,35
523,4064,991189,23
524,4064,1061413,3
525,4064,1062068,22
526,4064,1127223,6
527,4064,1230630,38
528,4064,1237191,26
529,4064,1237192,10
530,4064,1276669,9
531,4064,1326976,43
532,4064,1439368,28
533,4064,1474286,25
534,4064,1699827,24
535,4064,1892087,1
536,4064,1962015,8
537,4064,2517610,16
538,4064,2525554,33
539,4064,2587578,30
540,4064,2593230,27
541,4064,2615632,36
542,4064,2753335,15
543,4064,2820857,19
544,4064,2913609,37
545,4064,2992336,21
546,4064,3026579,7
547,4064,3222538,29
548,4064,3277339,41
549,4064,3357644,34
550,4064,3378259,39
551,4064,3571941,13
552,4064,3807179,2
553,4064,3834290,42
554,4064,3895346,18
555,4064,3900556,32
556,4064,3950684,20
557,4067,98799,58
558,4067,285432,83
559,4067,296580,37
560,4067,586230,85
561,4067,591913,72
562,4067,673308,5
563,4067,721842,68
564,4067,733399,7
565,4067,747713,27
566,4067,752528,1
567,4067,767117,65
568,4067,767121,64
569,4067,804790,16
570,4067,819216,62
571,4067,830566,87
572,4067,878445,69
573,4067,922331,79
574,4067,961457,86
575,4067,1003090,18
576,4067,1008983,75
577,4067,1072117,60
578,4067,1072584,84
579,4067,1116824,61
580,4067,1158058,4
581,4067,1189201,10
582,4067,1263113,22
583,4067,1278358,81
584,4067,1353101,31
585,4067,1457236,38
586,4067,1553570,89
587,4067,1691269,9
588,4067,1737335,25
589,4067,1799065,29
590,4067,1814404,35
591,4067,1875469,80
592,4067,1888119,47
593,4067,1949243,23
594,4067,1950564,30
595,4067,1953791,21
596,4067,1957733,26
597,4067,2175381,63
598,4067,2184832,66
599,4067,2187406,74
600,4067,2221215,39
601,4067,2231797,20
602,4067,2288948,67
603,4067,2311832,88
604,4067,2331674,3
605,4067,2390658,73
606,4067,2397533,34
607,4067,2465268,14
608,4067,2500294,32
609,4067,2558871,45
610,4067,2619922,48
611,4067,2671018,59
612,4067,2686334,44
613,4067,2719719,43
614,4067,2730714,19
615,4067,2901524,82
616,4067,2906536,71
617,4067,2955150,49
618,4067,2959123,2
619,4067,2992850,42
620,4067,3014781,12
621,4067,3041061,76
622,4067,3094259,15
623,4067,3106146,52
624,4067,3165295,33
625,4067,3206777,57
626,4067,3231843,46
627,4067,3259077,51
628,4067,3363994,53
629,4067,3377972,6
630,4067,3408531,77
631,4067,3409837,36
632,4067,3415167,50
633,4067,3441825,8
634,4067,3479904,17
635,4067,3551188,56
636,4067,3608764,78
637,4067,3740181,54
638,4067,3759017,28
639,4067,3807813,13
640,4067,3810017,24
641,4067,3815580,70
642,4067,3837525,41
643,4067,3891743,55
644,4067,3946874,40
645,4067,3948230,11
646,4068,6914,48
647,4068,9537,43
648,4068,35130,59
649,4068,53228,95
650,4068,63482,31
651,4068,66367,39
652,4068,71991,19
653,4068,86623,93
654,4068,91040,6
655,4068,115104,50
656,4068,291373,34
657,4068,298487,44
658,4068,317779,38
659,4068,359445,18
660,4068,366968,27
661,4068,399178,41
662,4068,416857,9
663,4068,452077,67
664,4068,454273,65
665,4068,470697,2
666,4068,502571,90
667,4068,569874,45
668,4068,603980,97
669,4068,615118,60
670,4068,624644,99
671,4068,643698,72
672,4068,783317,42
673,4068,793848,68
674,4068,816069,51
675,4068,837717,57
676,4068,862752,102
677,4068,911064,36
678,4068,943595,101
679,4068,960324,58
680,4068,999354,91
681,4068,1005278,61
682,4068,1012379,83
683,4068,1024144,14
684,4068,1049548,11
685,4068,1080214,20
686,4068,1122592,33
687,4068,1162291,12
688,4068,1168181,103
689,4068,1176518,63
690,4068,1225298,15
691,4068,1267245,89
692,4068,1267248,24
693,4068,1274694,40
694,4068,1298931,70
695,4068,1332318,54
696,4068,1354995,13
697,4068,1356497,8
698,4068,1366839,7
699,4068,1392978,53
700,4068,1426268,23
701,4068,1429556,32
702,4068,1444115,94
703,4068,1457382,100
704,4068,1499800,71
705,4068,1507135,30
706,4068,1539722,64
707,4068,1551426,21
708,4068,1586998,35
709,4068,1605998,84
710,4068,1683286,56
711,4068,1817602,5
712,4068,1830886,66
713,4068,1844623,92
714,4068,1983799,1
715,4068,1984667,26
716,4068,2130920,104
717,4068,2131839,4
718,4068,2175132,46
719,4068,2183826,105
720,4068,2228355,47
721,4068,2329949,52
722,4068,2399870,28
723,4068,2443574,69
724,4068,2496883,10
725,4068,2532755,62
726,4068,2664732,76
727,4068,2722286,55
728,4068,2741506,25
729,4068,2748968,88
730,4068,2772516,37
731,4068,2776182,85
732,4068,2813307,29
733,4068,2816072,3
734,4068,2981112,73
735,4068,3017064,82
736,4068,3025579,74
737,4068,3063880,80
738,4068,3076213,22
739,4068,3246080,78
740,4068,3247503,87
741,4068,3251156,75
742,4068,3269259,96
743,4068,3274254,17
744,4068,3287067,86
745,4068,3316474,79
746,4068,3373958,77
747,4068,3374191,16
748,4068,3446053,81
749,4068,3727211,49
750,4068,3783332,98
751,4071,61523,7
752,4071,91040,1
753,4071,216491,19
754,4071,298487,11
755,4071,377198,14
756,4071,607764,27
757,4071,623809,2
758,4071,735794,25
759,4071,947696,13
760,4071,1012153,28
761,4071,1115141,5
762,4071,1288686,16
763,4071,1367005,21
764,4071,1542190,15
765,4071,1681059,35
766,4071,2042319,6
767,4071,2102347,20
768,4071,2142542,10
769,4071,2160836,8
770,4071,2220630,26
771,4071,2239879,30
772,4071,2393449,4
773,4071,2658539,32
774,4071,2670619,3
775,4071,2823587,33
776,4071,3076213,9
777,4071,3102915,12
778,4071,3143225,24
779,4071,3262587,31
780,4071,3298785,23
781,4071,3373013,34
782,4071,3377578,18
783,4071,3596665,17
784,4071,3747931,22
785,4071,3882340,29
786,4072,32790,10
787,4072,42931,5
788,4072,234027,9
789,4072,283068,13
790,4072,353718,1
791,4072,373966,17
792,4072,505984,26
793,4072,546715,21
794,4072,588080,33
795,4072,621114,31
796,4072,621116,32
797,4072,653079,11
798,4072,683145,6
799,4072,985751,34
800,4072,999845,16
801,4072,1034850,35
802,4072,1057385,30
803,4072,1117970,8
804,4072,1393138,28
805,4072,1522481,25
806,4072,1593002,15
807,4072,1671991,2
808,4072,1739265,20
809,4072,1876172,12
810,4072,1981220,19
811,4072,2054526,14
812,4072,2175104,22
813,4072,2432536,36
814,4072,2472056,4
815,4072,2755263,7
816,4072,2946565,29
817,4072,3159240,27
818,4072,3339939,3
819,4072,3412967,24
820,4072,3465970,23
821,4072,3918909,18
822,4075,89114,26
823,4075,148382,15
824,4075,183522,23
825,4075,722871,8
826,4075,824125,10
827,4075,865426,31
828,4075,1162220,3
829,4075,1299418,20
830,4075,1592522,24
831,4075,1920997,12
832,4075,2201769,14
833,4075,2375501,29
834,4075,2375927,5
835,4075,2496945,2
836,4075,2518834,13
837,4075,2643481,19
838,4075,2691517,21
839,4075,2726482,4
840,4075,2868711,11
841,4075,3062077,6
842,4075,3069046,25
843,4075,3232933,30
844,4075,3302173,27
845,4075,3375751,18
846,4075,3427019,16
847,4075,3545881,9
848,4075,3731714,1
849,4075,3851385,17
850,4075,3888747,22
851,4075,3896637,28
852,4075,3903532,7
853,4076,39674,56
854,4076,65865,37
855,4076,89103,50
856,4076,228678,29
857,4076,283459,4
858,4076,290229,48
859,4076,313166,2
860,4076,316709,59
861,4076,336235,27
862,4076,367886,22
863,4076,436462,54
864,4076,470549,30
865,4076,499503,12
866,4076,513423,32
867,4076,530403,24
868,4076,542238,1
869,4076,583944,62
870,4076,587780,9
871,4076,712233,34
872,4076,741946,53
873,4076,787493,26
874,4076,792573,44
875,4076,861346,3
876,4076,876500,15
877,4076,899895,47
878,4076,925040,10
879,4076,975770,21
880,4076,1183596,45
881,4076,1343740,23
882,4076,1400700,63
883,4076,1453616,16
884,4076,1482051,11
885,4076,1828546,49
886,4076,1839038,57
887,4076,1939692,39
888,4076,1940979,6
889,4076,1981311,28
890,4076,2178101,55
891,4076,2180741,25
892,4076,2243887,7
893,4076,2414271,64
894,4076,2518006,35
895,4076,2637759,31
896,4076,2761209,14
897,4076,2787384,20
898,4076,2881676,40
899,4076,2925612,58
900,4076,2929126,18
901,4076,2936168,8
902,4076,2992776,17
903,4076,3030657,33
904,4076,3176165,46
905,4076,3178465,5
906,4076,3214187,38
907,4076,3303590,51
908,4076,3345882,19
909,4076,3393669,60
910,4076,3432219,42
911,4076,3442528,61
912,4076,3646254,36
913,4076,3673714,43
914,4076,3807179,13
915,4076,3855389,41
916,4076,3861024,52
917,4077,114231,43
918,4077,172834,10
919,4077,181854,19
920,4077,187311,31
921,4077,235444,54
922,4077,317086,46
923,4077,370635,53
924,4077,416174,32
925,4077,457761,14
926,4077,463576,44
927,4077,664383,20
928,4077,699839,49
929,4077,705471,38
930,4077,741863,2
931,4077,794635,59
932,4077,925935,6
933,4077,1075306,15
934,4077,1332630,48
935,4077,1488802,21
936,4077,1493821,30
937,4077,1684174,28
938,4077,1740148,50
939,4077,1756306,56
940,4077,1928985,51
941,4077,1932656,24
942,4077,2102181,11
943,4077,2125676,4
944,4077,2192925,27
945,4077,2282051,29
946,4077,2287698,17
947,4077,2319690,42
948,4077,2449650,5
949,4077,2459788,23
950,4077,2493857,37
951,4077,2645997,16
952,4077,2730598,52
953,4077,2738143,18
954,4077,2797146,40
955,4077,2862878,33
956,4077,2899766,1
957,4077,2913441,12
958,4077,2927401,41
959,4077,2931377,58
960,4077,2932351,22
961,4077,3016482,36
962,4077,3088906,39
963,4077,3106072,60
964,4077,3237300,8
965,4077,3238757,9
966,4077,3266538,25
967,4077,3274743,34
968,4077,3326070,26
969,4077,3355622,55
970,4077,3481634,45
971,4077,3589177,57
972,4077,3655904,3
973,4077,3659289,7
974,4077,3765830,35
975,4077,3818132,47
976,4077,3872381,13
977,4132,39076,35
978,4132,90210,18
979,4132,134038,12
980,4132,214388,32
981,4132,459186,56
982,4132,506668,47
983,4132,607988,22
984,4132,713207,4
985,4132,758594,19
986,4132,905914,9
987,4132,924996,31
988,4132,938435,2
989,4132,1019772,5
990,4132,1143491,54
991,4132,1216563,58
992,4132,1217459,49
993,4132,1232106,23
994,4132,1245752,17
995,4132,1270721,21
996,4132,1276405,29
997,4132,1290791,1
998,4132,1406834,27
999,4132,1407299,46
1000,4132,1465524,15
1001,4132,1645268,50
1002,4132,1646425,59
1003,4132,1656123,20
1004,4132,1727373,36
1005,4132,1739405,44
1006,4132,1778373,6
1007,4132,1788611,34
1008,4132,1974466,38
1009,4132,2039877,55
1010,4132,2040847,14
1011,4132,2053813,16
1012,4132,2105106,11
1013,4132,2110106,26
1014,4132,2176428,28
1015,4132,2197582,13
1016,4132,2283086,8
1017,4132,2296218,39
1018,4132,2322128,53
1019,4132,2358253,25
1020,4132,2375050,24
1021,4132,2385946,51
1022,4132,2397510,52
1023,4132,2488465,57
1024,4132,2489271,40
1025,4132,2501388,45
1026,4132,2532815,33
1027,4132,2556779,48
1028,4132,2688624,42
1029,4132,2727997,62
1030,4132,2733409,30
1031,4132,2762822,43
1032,4132,2881181,37
1033,4132,3364132,7
1034,4132,3629310,10
1035,4132,3661883,61
1036,4132,3685229,41
1037,4132,3736385,60
1038,4132,3898471,3
1039,4133,32404,56
1040,4133,61523,4
1041,4133,89972,8
1042,4133,209151,58
1043,4133,235444,45
1044,4133,258407,61
1045,4133,263610,51
1046,4133,338696,49
1047,4133,455346,57
1048,4133,511337,14
1049,4133,513015,23
1050,4133,560644,19
1051,4133,591435,2
1052,4133,610463,15
1053,4133,621487,6
1054,4133,644102,33
1055,4133,675234,62
1056,4133,739336,40
1057,4133,866812,29
1058,4133,902385,25
1059,4133,1045353,48
1060,4133,1087126,44
1061,4133,1105646,32
1062,4133,1112683,55
1063,4133,1154934,17
1064,4133,1191400,39
1065,4133,1192473,38
1066,4133,1227740,21
1067,4133,1291088,22
1068,4133,1292349,36
1069,4133,1457593,13
1070,4133,1480229,46
1071,4133,1488624,9
1072,4133,1494494,30
1073,4133,1677363,47
1074,4133,1691323,41
1075,4133,1715844,42
1076,4133,1804772,34
1077,4133,1868526,37
1078,4133,2062006,1
1079,4133,2070356,60
1080,4133,2071887,31
1081,4133,2190574,20
1082,4133,2259038,12
1083,4133,2305222,27
1084,4133,2346478,10
1085,4133,2393161,35
1086,4133,2417754,54
1087,4133,2427896,3
1088,4133,2456781,5
1089,4133,2473310,50
1090,4133,2532663,59
1091,4133,2763770,28
1092,4133,2804825,26
1093,4133,2992952,43
1094,4133,3058546,18
1095,4133,3066863,24
1096,4133,3085889,7
1097,4133,3133451,16
1098,4133,3156032,52
1099,4133,3232104,53
1100,4133,3391413,11
1101,4138,5296,30
1102,4138,87541,23
1103,4138,235118,24
1104,4138,244892,42
1105,4138,278746,13
1106,4138,291373,36
1107,4138,321164,14
1108,4138,408089,11
1109,4138,418041,8
1110,4138,435798,38
1111,4138,510201,25
1112,4138,611779,27
1113,4138,731720,33
1114,4138,735794,41
1115,4138,943666,19
1116,4138,993467,10
1117,4138,1004814,26
1118,4138,1012153,37
1119,4138,1093389,5
1120,4138,1119764,3
1121,4138,1163627,29
1122,4138,1206315,1
1123,4138,1273318,16
1124,4138,1578792,31
1125,4138,1609889,39
1126,4138,1747283,34
1127,4138,1768609,9
1128,4138,1784067,22
1129,4138,1812744,7
1130,4138,1917810,12
1131,4138,1968531,6
1132,4138,2181492,43
1133,4138,2220090,40
1134,4138,2444037,35
1135,4138,2461412,20
1136,4138,2738861,44
1137,4138,2845577,18
1138,4138,2891412,32
1139,4138,2947621,4
1140,4138,3026426,2
1141,4138,3066381,45
1142,4138,3532423,21
1143,4138,3705534,17
1144,4138,3718572,28
1145,4138,3905772,15
1146,4141,133985,1
1147,4141,158053,17
1148,4141,218525,27
1149,4141,249524,18
1150,4141,326847,16
1151,4141,423194,29
1152,4141,431226,36
1153,4141,494272,5
1154,4141,520692,19
1155,4141,685408,26
1156,4141,952264,30
1157,4141,1013793,25
1158,4141,1128835,11
1159,4141,1341315,12
1160,4141,1430684,8
1161,4141,1635313,13
1162,4141,1635722,22
1163,4141,1715533,21
1164,4141,1755068,9
1165,4141,1870814,28
1166,4141,1900527,14
1167,4141,1992736,4
1168,4141,1992737,23
1169,4141,2020247,31
1170,4141,2082212,6
1171,4141,2089484,15
1172,4141,2313288,10
1173,4141,2388277,32
1174,4141,2896989,24
1175,4141,3042390,2
1176,4141,3073764,7
1177,4141,3254537,35
1178,4141,3533630,3
1179,4141,3626276,33
1180,4141,3728177,20
1181,4141,3876771,34
1182,4142,44616,16
1183,4142,112204,21
1184,4142,171871,11
1185,4142,213411,25
1186,4142,316653,3
1187,4142,338898,13
1188,4142,341919,28
1189,4142,351005,50
1190,4142,365928,6
1191,4142,518256,30
1192,4142,716545,8
1193,4142,722392,70
1194,4142,823175,63
1195,4142,847975,31
1196,4142,1032186,29
1197,4142,1154059,19
1198,4142,1218335,45
1199,4142,1337842,35
1200,4142,1681146,1
1201,4142,1866409,17
1202,4142,1897937,68
1203,4142,2022728,4
1204,4142,2052059,27
1205,4142,2108905,65
1206,4142,2175065,18
1207,4142,2197622,7
1208,4142,2264734,61
1209,4142,2453506,69
1210,4142,2456242,15
1211,4142,2470224,24
1212,4142,2566454,49
1213,4142,2573479,33
1214,4142,2581270,57
1215,4142,2592753,14
1216,4142,2596115,67
1217,4142,2610899,52
1218,4142,2678219,39
1219,4142,2724725,56
1220,4142,2752858,59
1221,4142,2769777,48
1222,4142,2785329,55
1223,4142,2821893,40
1224,4142,2914668,2
1225,4142,2934777,64
1226,4142,2991248,36
1227,4142,3006696,37
1228,4142,3091628,12
1229,4142,3173895,34
1230,4142,3189233,32
1231,4142,3208542,60
1232,4142,3299620,43
1233,4142,3303244,53
1234,4142,3400198,58
1235,4142,3426364,23
1236,4142,3496048,44
1237,4142,3542979,22
1238,4142,3545659,41
1239,4142,3565642,20
1240,4142,3568392,5
1241,4142,3685884,10
1242,4142,3705221,66
1243,4142,3731243,26
1244,4142,3760814,9
1245,4142,3761516,51
1246,4142,3765540,62
1247,4142,3766549,38
1248,4142,3800055,42
1249,4142,3804291,46
1250,4142,3872477,54
1251,4142,3881392,47
1252,4147,65756,40
1253,4147,66367,32
1254,4147,89357,23
1255,4147,124574,4
1256,4147,310310,9
1257,4147,360472,34
1258,4147,571000,38
1259,4147,583748,44
1260,4147,755967,1
1261,4147,783317,17
1262,4147,955924,36
1263,4147,963964,13
1264,4147,988391,46
1265,4147,1064781,29
1266,4147,1077177,45
1267,4147,1124545,28
1268,4147,1274694,31
1269,4147,1407150,37
1270,4147,1426268,43
1271,4147,1437955,16
1272,4147,1474944,20
1273,4147,1585449,10
1274,4147,1938086,24
